run_name,dataset,protocol,recording_id,number_of_measurements,mae_bpm,rmse_bpm,bias_bpm,error_sd_bpm,mape_percent,hr_pearson,mean_waveform_pearson,mean_snr_db
UBFC_TO_PURE_CROSS,PURE,old,1001,57,0.39473684210526316,1.7206180040292134,-0.39473684210526316,1.6747265870207706,0.4385964912280701,0.9174707236232783,0.7932125664171084,nan
UBFC_TO_PURE_CROSS,PURE,old,1002,57,1.1842105263157894,3.294732638302346,0.13157894736842105,3.29210421136758,1.2407183459815039,0.9009470003918946,0.6726096775532715,nan
UBFC_TO_PURE_CROSS,PURE,old,1003,67,0.7835820895522388,2.424224756832953,0.3358208955223881,2.4008519316634946,1.1276948590381426,0.8242003672134854,0.8303792140461912,nan
UBFC_TO_PURE_CROSS,PURE,old,1004,67,0.7835820895522388,3.5487016755553786,-0.5597014925373134,3.5042856363802675,1.0779436152570483,0.5738414360061117,0.6079643909702735,nan
UBFC_TO_PURE_CROSS,PURE,old,1005,57,0.7894736842105263,3.141404312187716,0.5263157894736842,3.097000604194689,1.111111111111111,0.29874788782645656,0.8181682640158195,nan
UBFC_TO_PURE_CROSS,PURE,old,1006,57,0.39473684210526316,1.7206180040292134,0.39473684210526316,1.6747265870207706,0.5263157894736842,0.8570134477879802,0.791935283998857,nan
UBFC_TO_PURE_CROSS,PURE,old,101,57,0.5263157894736842,1.9867985355975657,0.0,1.9867985355975657,0.7894736842105263,0.5773502691896256,0.5559650528752624,nan
UBFC_TO_PURE_CROSS,PURE,old,102,57,3.1578947368421053,11.150879125125421,1.8421052631578947,10.99767036524572,4.385964912280702,0.12134458529432145,0.5123569630959333,nan
UBFC_TO_PURE_CROSS,PURE,old,103,73,0.7191780821917808,2.911361777117415,-0.7191780821917808,2.821136346112188,0.8966376089663762,0.6013896394766889,0.0567854873833378,nan
UBFC_TO_PURE_CROSS,PURE,old,104,73,0.821917808219178,2.7758745382410197,0.0,2.7758745382410197,1.156773211567732,0.6449806198638834,0.3770619964578157,nan
UBFC_TO_PURE_CROSS,PURE,old,105,57,1.1842105263157894,2.9801978033963485,-0.13157894736842105,2.977291710259148,1.6569200779727098,0.6405126152203494,0.627745720783881,nan
UBFC_TO_PURE_CROSS,PURE,old,106,57,0.39473684210526316,1.7206180040292134,-0.13157894736842105,1.7155795803164866,0.5458089668615984,0.6431649112380866,0.7510667218156707,nan
UBFC_TO_PURE_CROSS,PURE,old,201,57,0.5263157894736842,1.9867985355975657,0.0,1.9867985355975657,0.7212475633528266,0.8901579357668837,0.7936851783629333,nan
UBFC_TO_PURE_CROSS,PURE,old,202,57,4.868421052631579,14.29252657123553,1.9736842105263157,14.155595587137718,5.927698032961191,0.5158559691637055,0.3226647168804463,nan
UBFC_TO_PURE_CROSS,PURE,old,203,62,1.4516129032258065,3.563932224836186,-0.967741935483871,3.4300274706672162,1.9273378950798306,0.7802186755377297,0.6114621991222713,nan
UBFC_TO_PURE_CROSS,PURE,old,204,62,3.5080645161290325,9.283830897266077,0.12096774193548387,9.283042762717583,4.91365265558814,0.4586538018910652,0.32278410846246963,nan
UBFC_TO_PURE_CROSS,PURE,old,205,57,0.13157894736842105,0.9933992677987828,0.13157894736842105,0.9846466807299847,0.1949317738791423,0.9331389496316842,0.816236974548615,nan
UBFC_TO_PURE_CROSS,PURE,old,206,57,0.39473684210526316,1.7206180040292134,-0.39473684210526316,1.6747265870207704,0.5263157894736842,0.891882585015844,0.706967870627222,nan
UBFC_TO_PURE_CROSS,PURE,old,301,57,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.8302484847308633,nan
UBFC_TO_PURE_CROSS,PURE,old,302,57,1.0526315789473684,2.809757434745082,0.2631578947368421,2.7974067928249076,1.8796992481203008,0.7103594110348548,0.6775729477199776,nan
UBFC_TO_PURE_CROSS,PURE,old,303,62,1.3306451612903225,3.1590882719033697,-0.3629032258064516,3.1381746220337536,2.4193548387096775,0.70988710989934,0.505184116999799,nan
UBFC_TO_PURE_CROSS,PURE,old,304,67,13.432835820895523,22.99821537527991,11.865671641791044,19.700856502623356,25.21321961620469,-0.1911278400922011,0.2548049678217109,nan
UBFC_TO_PURE_CROSS,PURE,old,305,57,0.5263157894736842,1.9867985355975657,-0.2631578947368421,1.969293361459969,0.9085213032581454,0.8584626492775337,0.8093095680917812,nan
UBFC_TO_PURE_CROSS,PURE,old,306,57,0.7894736842105263,2.4333213169614383,0.5263157894736842,2.3757197480615515,1.5037593984962405,0.8099394941148286,0.6424586605947813,nan
UBFC_TO_PURE_CROSS,PURE,old,401,57,0.6578947368421053,2.2213082915965963,0.6578947368421053,2.121646775868039,1.2218045112781954,0.8166095446409994,0.21435893973096123,nan
UBFC_TO_PURE_CROSS,PURE,old,402,57,2.6315789473684212,5.256574830378468,0.7894736842105263,5.196952015297763,4.1228070175438605,0.4861380979434085,0.5273991960120457,nan
UBFC_TO_PURE_CROSS,PURE,old,403,67,1.5671641791044777,7.666071791759969,0.8955223880597015,7.613586301402367,2.30514096185738,0.24021440199199234,0.6617669460471629,nan
UBFC_TO_PURE_CROSS,PURE,old,404,67,13.097014925373134,27.927478043152163,9.067164179104477,26.414589975994534,18.673300165837478,0.1796427711546135,0.5912729780866266,nan
UBFC_TO_PURE_CROSS,PURE,old,405,57,0.13157894736842105,0.9933992677987828,0.13157894736842105,0.9846466807299847,0.21929824561403508,0.9596006113656522,0.7825405989985981,nan
UBFC_TO_PURE_CROSS,PURE,old,406,57,0.39473684210526316,1.7206180040292134,-0.13157894736842105,1.7155795803164866,0.6335282651072125,0.8990840822907818,0.4426901458441909,nan
UBFC_TO_PURE_CROSS,PURE,old,501,57,1.8421052631578947,8.545543621647115,1.5789473684210527,8.398407051175235,4.051796157059314,0.08518518518518521,0.7881146121552322,nan
UBFC_TO_PURE_CROSS,PURE,old,502,57,23.55263157894737,30.01644286229238,23.289473684210527,18.936400334216863,45.32163742690058,0.23091614744152691,0.12586611459791908,nan
