run_name,dataset,protocol,recording_id,number_of_measurements,mae_bpm,rmse_bpm,bias_bpm,error_sd_bpm,mape_percent,hr_pearson,mean_waveform_pearson,mean_snr_db
UBFC_INTRA,UBFC,old,subject41,57,1.1842105263157894,4.330127018922194,-1.1842105263157894,4.165050471406425,1.1291048133153396,0.7010443561815404,0.6634170328067587,nan
UBFC_INTRA,UBFC,old,subject42,57,0.13157894736842105,0.9933992677987828,0.13157894736842105,0.9846466807299847,0.1594896331738437,0.9783057371463748,0.8249957756624551,nan
UBFC_INTRA,UBFC,old,subject43,57,0.39473684210526316,1.7206180040292134,-0.39473684210526316,1.6747265870207706,0.385579332947754,0.9339881217517768,0.5362208462520264,nan
UBFC_INTRA,UBFC,old,subject44,57,0.6578947368421053,2.2213082915965963,-0.39473684210526316,2.1859536481363353,0.7735247208931418,0.9385344530485952,0.7641840011709928,nan
UBFC_INTRA,UBFC,old,subject45,57,0.9210526315789473,3.5817519970568945,-0.39473684210526316,3.5599340153864953,0.8270676691729323,0.8393154524632161,0.7334746580437719,nan
UBFC_INTRA,UBFC,old,subject46,57,0.5263157894736842,1.9867985355975657,0.2631578947368421,1.969293361459969,0.5301715828031618,0.9491931013105411,0.8005813752902652,nan
UBFC_INTRA,UBFC,old,subject47,57,0.9210526315789473,3.5817519970568945,0.6578947368421053,3.52081267375254,0.8688387635756056,0.8960094070675831,0.7740847111393648,nan
UBFC_INTRA,UBFC,old,subject48,57,1.4473684210526316,6.360858929090432,-1.1842105263157894,6.249653730019956,1.5632028789923527,0.20727722100359863,0.6881123640001093,nan
UBFC_INTRA,UBFC,old,subject49,57,1.1842105263157894,2.9801978033963485,-0.13157894736842105,2.9772917102591476,1.3689526847421585,0.640512615220349,0.7384001728805225,nan
UBFC_INTRA,UBFC,old,subject5,41,1.0975609756097562,2.8690952087850223,-0.36585365853658536,2.8456736316043987,1.103368176538908,0.7158203583477505,0.6142337355183111,nan
UBFC_INTRA,UBFC,old,subject8,57,0.7894736842105263,3.4412360080584268,-0.5263157894736842,3.4007494692947593,0.6735588972431077,0.5462037188054131,0.7868490950348817,nan
UBFC_INTRA,UBFC,old,subject9,57,1.1842105263157894,3.5817519970568945,0.6578947368421053,3.5208126737525403,1.1053274211168949,0.879637483472318,0.697762984218568,nan
