run_name,dataset,protocol,recording_id,number_of_measurements,mae_bpm,rmse_bpm,bias_bpm,error_sd_bpm,mape_percent,hr_pearson,mean_waveform_pearson,mean_snr_db
PURE_TO_UBFC_CROSS,UBFC,old,subject10,57,0.13157894736842105,0.9933992677987828,0.13157894736842105,0.9846466807299845,0.12531328320802004,0.9949425753858991,0.7770668236787869,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject11,57,0.13157894736842105,0.9933992677987828,-0.13157894736842105,0.9846466807299847,0.10964912280701754,0.9812837247675136,0.7086992303761283,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject12,57,0.2631578947368421,1.404878717372541,0.0,1.404878717372541,0.37037037037037035,0.4818181818181823,0.818994544836732,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject13,57,0.7894736842105263,2.4333213169614383,0.2631578947368421,2.419049514585557,0.7387860677334361,0.9483752339741813,0.7618058241745699,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject14,57,2.8947368421052633,7.163503994113789,0.7894736842105263,7.119868030772991,4.0129363813574335,0.5531027693740792,0.7398084440838831,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject15,57,0.0,0.0,0.0,0.0,0.0,1.0,0.6638133415036273,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject16,57,0.39473684210526316,1.7206180040292134,0.13157894736842105,1.7155795803164866,0.42735042735042733,0.8941531890891596,0.8119926008794179,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject17,57,0.2631578947368421,1.404878717372541,0.2631578947368421,1.3800116423291466,0.3056884635832004,0.9366432096759917,0.740904077719056,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject18,57,0.9210526315789473,2.628287415189234,-0.13157894736842105,2.624991755692106,0.7662948220223762,0.9479047215016843,0.7054672781325037,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject1,41,1.829268292682927,4.0575133560034455,0.36585365853658536,4.0409857379953396,1.698941302599839,0.649971482123799,0.5174805783618865,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject20,57,0.39473684210526316,2.2213082915965963,0.39473684210526316,2.1859536481363357,0.32249742002063986,0.951116371281056,0.7318746018968861,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject22,57,0.5263157894736842,1.9867985355975657,-0.5263157894736842,1.9158183919159257,0.4858299595141701,0.9523866350606546,0.7442149163261675,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject23,57,0.39473684210526316,1.7206180040292134,-0.13157894736842105,1.7155795803164866,0.5653021442495126,0.9384506442955703,0.863854375897759,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject24,57,0.6578947368421053,2.628287415189234,-0.39473684210526316,2.5984760076488818,0.5960980883581503,0.9832782088045074,0.765959151107044,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject25,41,0.5487804878048781,2.619113609135918,0.5487804878048781,2.5609756097560976,0.4878048780487805,0.7530256247262024,0.39437085071265254,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject26,41,0.36585365853658536,2.3426064283290913,-0.36585365853658536,2.3138617025622286,0.375234521575985,0.8196010418298624,0.5760311867906827,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject27,35,3.0,6.2105900340811875,0.42857142857142855,6.195785269200411,2.9025379382522236,0.8029268298616858,0.42077347367250967,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject30,57,0.6578947368421053,2.2213082915965963,0.39473684210526316,2.1859536481363353,0.6896612159770055,0.9450675486139289,0.7379273519772955,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject31,57,0.6578947368421053,2.2213082915965963,-0.13157894736842105,2.2174078350464104,0.8293460925039874,0.8102067677050152,0.8452038617739939,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject32,57,0.13157894736842105,0.9933992677987828,-0.13157894736842105,0.9846466807299847,0.1349527665317139,0.9955332824668544,0.6948504484643372,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject33,57,0.7894736842105263,2.809757434745082,0.7894736842105263,2.6965659910419997,0.7017543859649122,0.7849082607831841,0.6588126336149072,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject34,57,0.6578947368421053,2.2213082915965963,-0.39473684210526316,2.1859536481363353,0.5555555555555556,0.8296296296296293,0.6607044191506432,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject35,57,0.5263157894736842,1.9867985355975657,-0.2631578947368421,1.9692933614599688,0.5772005772005772,0.9887693042566548,0.715059636036431,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject36,57,0.5263157894736842,1.9867985355975657,0.2631578947368421,1.9692933614599688,0.45745018655235375,0.9648520981826424,0.8333576332047169,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject37,57,1.8421052631578947,3.9735970711951314,-0.7894736842105263,3.894381207091774,3.0492898913951545,0.8053752167901851,0.7820010676226005,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject38,57,0.13157894736842105,0.9933992677987828,-0.13157894736842105,0.9846466807299845,0.11695906432748539,0.9633432944855647,0.6890675673431086,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject39,57,0.9210526315789473,2.628287415189234,0.6578947368421053,2.5446157376070677,1.1802232854864436,0.7910919057394047,0.7932667436953386,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject3,51,1.6176470588235294,4.577759534198053,1.3235294117647058,4.382254242868041,1.8654548066312773,0.8440707236327113,0.7781684108241763,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject40,57,1.1842105263157894,2.9801978033963485,-0.6578947368421053,2.9066739518913844,1.3423710792131842,0.6879325629409011,0.7596575064367381,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject41,57,1.4473684210526316,4.764175523745177,-1.1842105263157894,4.614652083355311,1.3797313797313797,0.6303195273278276,0.6598705763657177,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject42,57,0.13157894736842105,0.9933992677987828,0.13157894736842105,0.9846466807299847,0.1594896331738437,0.9783057371463748,0.6507000583820529,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject43,57,0.9210526315789473,2.9801978033963485,-0.39473684210526316,2.953940042189954,0.9077180129811707,0.7854524071329654,0.7162357193326843,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject44,57,2.763157894736842,7.884862245567702,-0.6578947368421053,7.8573676983334835,3.2562466772993086,0.4267811004300681,0.7291628734279083,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject45,57,0.7894736842105263,3.4412360080584268,-0.5263157894736842,3.4007494692947593,0.7017543859649122,0.8414750388020772,0.7902629716208988,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject46,57,0.9210526315789473,2.9801978033963485,0.13157894736842105,2.9772917102591476,0.9478825268298953,0.8805758119520287,0.7588836252932237,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject47,57,0.9210526315789473,3.5817519970568945,0.9210526315789473,3.461301694201554,0.8980785296574769,0.8946421752879818,0.7920078112603456,nan
PURE_TO_UBFC_CROSS,UBFC,old,subject48,57,0.7894736842105263,2.4333213169614383,-0.2631578947368421,2.419049514585557,0.8322087269455689,0.4508356100096217,0.7929663945479898,nan
